graph_type,cap_type,n,d,hi,seed,m,median_time,flow,graph_file
erdag,int,20,0.0400,-1,0,7,0.13166549999999999,0,erdag_n20_p0_0400_seed0.max
erdag,int,20,0.0800,-1,0,15,0.35553630000000003,0,erdag_n20_p0_0800_seed0.max
erdag,int,20,0.6400,-1,0,122,10.23017199999999960,6147,erdag_n20_p0_6400_seed0.max
erdag,int,20,0.3200,-1,0,60,2.78623010000000004,2603,erdag_n20_p0_3200_seed0.max
erdag,int,20,0.1600,-1,0,30,0.82457910000000001,1856,erdag_n20_p0_1600_seed0.max
erdag,int,20,0.3200,-1,1,48,1.44035059999999993,531,erdag_n20_p0_3200_seed1.max
erdag,int,20,0.6400,-1,1,122,10.98406029999999944,6559,erdag_n20_p0_6400_seed1.max
erdag,int,20,0.1600,-1,1,28,0.67882160000000002,0,erdag_n20_p0_1600_seed1.max
erdag,int,20,0.0800,-1,1,15,0.26983299999999999,0,erdag_n20_p0_0800_seed1.max
erdag,int,20,0.0400,-1,1,12,0.19311980000000001,135,erdag_n20_p0_0400_seed1.max
erdag,int,20,0.1600,-1,2,34,0.74085760000000001,412,erdag_n20_p0_1600_seed2.max
erdag,int,20,0.0800,-1,2,14,0.23970440000000001,0,erdag_n20_p0_0800_seed2.max
erdag,int,20,0.3200,-1,2,59,1.70154659999999991,405,erdag_n20_p0_3200_seed2.max
erdag,int,20,0.0400,-1,2,8,0.14515449999999999,0,erdag_n20_p0_0400_seed2.max
erdag,int,20,0.6400,-1,2,128,10.29555820000000033,3453,erdag_n20_p0_6400_seed2.max
erdag,unit,20,0.0400,-1,0,7,0.01280660000000000,0,erdag_n20_p0_0400_seed0.max
erdag,unit,20,0.6400,-1,0,130,1.86257779999999995,12,erdag_n20_p0_6400_seed0.max
erdag,unit,20,0.3200,-1,0,59,0.38305519999999998,5,erdag_n20_p0_3200_seed0.max
erdag,unit,20,0.1600,-1,0,24,0.07993770000000000,0,erdag_n20_p0_1600_seed0.max
erdag,unit,20,0.0800,-1,0,14,0.02846240000000000,1,erdag_n20_p0_0800_seed0.max
erdag,unit,20,0.0400,-1,1,10,0.01193080000000000,1,erdag_n20_p0_0400_seed1.max
erdag,unit,20,0.0800,-1,1,19,0.04817190000000000,0,erdag_n20_p0_0800_seed1.max
erdag,unit,20,0.1600,-1,1,29,0.07833730000000000,0,erdag_n20_p0_1600_seed1.max
erdag,unit,20,0.3200,-1,1,62,0.30757859999999998,2,erdag_n20_p0_3200_seed1.max
erdag,unit,20,0.6400,-1,1,121,1.44263959999999991,8,erdag_n20_p0_6400_seed1.max
erdag,unit,20,0.3200,-1,2,62,0.17593680000000000,1,erdag_n20_p0_3200_seed2.max
erdag,unit,20,0.1600,-1,2,36,0.04349550000000000,1,erdag_n20_p0_1600_seed2.max
erdag,unit,20,0.6400,-1,2,124,1.43463819999999997,8,erdag_n20_p0_6400_seed2.max
erdag,unit,20,0.0800,-1,2,14,0.02120480000000000,1,erdag_n20_p0_0800_seed2.max
erdag,unit,20,0.0400,-1,2,6,0.01476170000000000,0,erdag_n20_p0_0400_seed2.max
grid,int,5,5,-1,0,4,0.03362470000000000,365,grid_n5_rows5_seed0.max
grid,int,5,5,-1,1,4,0.02786900000000000,428,grid_n5_rows5_seed1.max
grid,int,5,5,-1,2,4,0.03878740000000000,388,grid_n5_rows5_seed2.max
grid,int,10,5,-1,0,13,0.18768280000000001,947,grid_n10_rows5_seed0.max
grid,int,10,5,-1,1,13,0.22204340000000000,592,grid_n10_rows5_seed1.max
grid,int,10,5,-1,2,13,0.17792040000000001,595,grid_n10_rows5_seed2.max
grid,int,20,5,-1,0,31,1.25901039999999997,1078,grid_n20_rows5_seed0.max
grid,int,20,5,-1,1,31,1.18589389999999995,917,grid_n20_rows5_seed1.max
grid,int,20,5,-1,2,31,1.08250950000000001,1103,grid_n20_rows5_seed2.max
grid,int,40,5,-1,0,67,6.68403800000000015,1291,grid_n40_rows5_seed0.max
grid,int,40,5,-1,1,67,6.95712039999999998,1343,grid_n40_rows5_seed1.max
grid,int,40,5,-1,2,67,5.84627870000000005,983,grid_n40_rows5_seed2.max
grid,int,80,5,-1,0,139,35.12433269999999652,981,grid_n80_rows5_seed0.max
grid,int,80,5,-1,1,139,27.43613870000000077,899,grid_n80_rows5_seed1.max
grid,int,80,5,-1,2,139,33.52167769999999791,1019,grid_n80_rows5_seed2.max
grid,unit,5,5,-1,0,4,0.00112280000000000,1,grid_n5_rows5_seed0.max
grid,unit,5,5,-1,1,4,0.00132770000000000,1,grid_n5_rows5_seed1.max
grid,unit,5,5,-1,2,4,0.00132090000000000,1,grid_n5_rows5_seed2.max
grid,unit,10,5,-1,0,13,0.02110600000000000,2,grid_n10_rows5_seed0.max
grid,unit,10,5,-1,1,13,0.02021850000000000,2,grid_n10_rows5_seed1.max
grid,unit,10,5,-1,2,13,0.02051200000000000,2,grid_n10_rows5_seed2.max
grid,unit,20,5,-1,0,31,0.09091490000000001,2,grid_n20_rows5_seed0.max
grid,unit,20,5,-1,1,31,0.09355040000000001,2,grid_n20_rows5_seed1.max
grid,unit,20,5,-1,2,31,0.09476080000000001,2,grid_n20_rows5_seed2.max
grid,unit,40,5,-1,0,67,0.51803149999999998,2,grid_n40_rows5_seed0.max
grid,unit,40,5,-1,1,67,0.51771909999999999,2,grid_n40_rows5_seed1.max
grid,unit,40,5,-1,2,67,0.50503439999999999,2,grid_n40_rows5_seed2.max
grid,unit,80,5,-1,0,139,2.67275239999999981,2,grid_n80_rows5_seed0.max
grid,unit,80,5,-1,1,139,2.69774389999999986,2,grid_n80_rows5_seed1.max
grid,unit,80,5,-1,2,139,2.73417170000000009,2,grid_n80_rows5_seed2.max
layered,int,10,4,-1,0,22,0.33256300000000000,1062,layered_n10_d4_seed0.max
layered,int,10,4,-1,1,22,0.35583949999999998,1480,layered_n10_d4_seed1.max
layered,int,10,4,-1,2,22,0.34203149999999999,1223,layered_n10_d4_seed2.max
layered,int,10,8,-1,0,22,0.32784600000000003,1062,layered_n10_d8_seed0.max
layered,int,10,8,-1,1,22,0.35856389999999999,1480,layered_n10_d8_seed1.max
layered,int,10,8,-1,2,22,0.33784019999999998,1223,layered_n10_d8_seed2.max
layered,int,10,16,-1,0,22,0.32509250000000001,1062,layered_n10_d16_seed0.max
layered,int,10,16,-1,1,22,0.35231930000000000,1480,layered_n10_d16_seed1.max
layered,int,10,16,-1,2,22,0.34172249999999998,1223,layered_n10_d16_seed2.max
layered,int,10,32,-1,0,22,0.32619440000000000,1062,layered_n10_d32_seed0.max
layered,int,10,32,-1,1,22,0.36937039999999999,1480,layered_n10_d32_seed1.max
layered,int,10,32,-1,2,22,0.34416950000000002,1223,layered_n10_d32_seed2.max
layered,int,10,64,-1,0,22,0.32334010000000002,1062,layered_n10_d64_seed0.max
layered,int,10,64,-1,1,22,0.35557139999999998,1480,layered_n10_d64_seed1.max
layered,int,10,64,-1,2,22,0.34795650000000000,1223,layered_n10_d64_seed2.max
layered,unit,10,4,-1,0,22,0.02576760000000000,2,layered_n10_d4_seed0.max
layered,unit,10,4,-1,1,22,0.02598340000000000,2,layered_n10_d4_seed1.max
layered,unit,10,4,-1,2,22,0.02528700000000000,2,layered_n10_d4_seed2.max
layered,unit,10,8,-1,0,22,0.02442020000000000,2,layered_n10_d8_seed0.max
layered,unit,10,8,-1,1,22,0.02536780000000000,2,layered_n10_d8_seed1.max
layered,unit,10,8,-1,2,22,0.02557200000000000,2,layered_n10_d8_seed2.max
layered,unit,10,16,-1,0,22,0.02492600000000000,2,layered_n10_d16_seed0.max
layered,unit,10,16,-1,1,22,0.02631820000000000,2,layered_n10_d16_seed1.max
layered,unit,10,16,-1,2,22,0.02555820000000000,2,layered_n10_d16_seed2.max
layered,unit,10,32,-1,0,22,0.02518750000000000,2,layered_n10_d32_seed0.max
layered,unit,10,32,-1,1,22,0.02648790000000000,2,layered_n10_d32_seed1.max
layered,unit,10,32,-1,2,22,0.02465370000000000,2,layered_n10_d32_seed2.max
layered,unit,10,64,-1,0,22,0.02588850000000000,2,layered_n10_d64_seed0.max
layered,unit,10,64,-1,1,22,0.02488970000000000,2,layered_n10_d64_seed1.max
layered,unit,10,64,-1,2,22,0.02576260000000000,2,layered_n10_d64_seed2.max
