graph_type,cap_type,n,d,hi,seed,m,median_time,flow,graph_file
erdag,int,1000,4,255,0,1989,0.00022970000000000,0,erdag_n1000_p0_0040_d4_hi255_seed0.max
erdag,int,1000,4,255,1,2030,0.00025550000000000,153,erdag_n1000_p0_0040_d4_hi255_seed1.max
erdag,int,1000,4,255,2,2012,0.00027150000000000,161,erdag_n1000_p0_0040_d4_hi255_seed2.max
erdag,int,1000,4,511,0,1968,0.00020910000000000,0,erdag_n1000_p0_0040_d4_hi511_seed0.max
erdag,int,1000,4,511,1,1998,0.00023200000000000,0,erdag_n1000_p0_0040_d4_hi511_seed1.max
erdag,int,1000,4,511,2,1962,0.00031870000000000,0,erdag_n1000_p0_0040_d4_hi511_seed2.max
erdag,int,1000,4,1023,0,1881,0.00023770000000000,0,erdag_n1000_p0_0040_d4_hi1023_seed0.max
erdag,int,1000,4,1023,1,1990,0.00035130000000000,0,erdag_n1000_p0_0040_d4_hi1023_seed1.max
erdag,int,1000,4,1023,2,2059,0.00029920000000000,0,erdag_n1000_p0_0040_d4_hi1023_seed2.max
erdag,int,1000,4,2047,0,2034,0.00023320000000000,0,erdag_n1000_p0_0040_d4_hi2047_seed0.max
erdag,int,1000,4,2047,1,2040,0.00026770000000000,386,erdag_n1000_p0_0040_d4_hi2047_seed1.max
erdag,int,1000,4,2047,2,1974,0.00021580000000000,0,erdag_n1000_p0_0040_d4_hi2047_seed2.max
erdag,int,1000,4,4095,0,2029,0.00039710000000000,0,erdag_n1000_p0_0040_d4_hi4095_seed0.max
erdag,int,1000,4,4095,1,2059,0.00022170000000000,0,erdag_n1000_p0_0040_d4_hi4095_seed1.max
erdag,int,1000,4,4095,2,1977,0.00027750000000000,0,erdag_n1000_p0_0040_d4_hi4095_seed2.max
erdag,int,1000,8,255,0,3995,0.00059760000000000,689,erdag_n1000_p0_0080_d8_hi255_seed0.max
erdag,int,1000,8,255,1,4025,0.00042770000000000,127,erdag_n1000_p0_0080_d8_hi255_seed1.max
erdag,int,1000,8,255,2,4047,0.00058570000000000,613,erdag_n1000_p0_0080_d8_hi255_seed2.max
erdag,int,1000,8,511,0,3888,0.00061490000000000,0,erdag_n1000_p0_0080_d8_hi511_seed0.max
erdag,int,1000,8,511,1,4061,0.00053490000000000,713,erdag_n1000_p0_0080_d8_hi511_seed1.max
erdag,int,1000,8,511,2,3880,0.00062990000000000,1093,erdag_n1000_p0_0080_d8_hi511_seed2.max
erdag,int,1000,8,1023,0,3941,0.00054720000000000,158,erdag_n1000_p0_0080_d8_hi1023_seed0.max
erdag,int,1000,8,1023,1,3898,0.00049770000000000,1731,erdag_n1000_p0_0080_d8_hi1023_seed1.max
erdag,int,1000,8,1023,2,4056,0.00048590000000000,912,erdag_n1000_p0_0080_d8_hi1023_seed2.max
erdag,int,1000,8,2047,0,3946,0.00046170000000000,2299,erdag_n1000_p0_0080_d8_hi2047_seed0.max
erdag,int,1000,8,2047,1,3974,0.00044600000000000,209,erdag_n1000_p0_0080_d8_hi2047_seed1.max
erdag,int,1000,8,2047,2,4076,0.00054200000000000,2422,erdag_n1000_p0_0080_d8_hi2047_seed2.max
erdag,int,1000,8,4095,0,3959,0.00044020000000000,0,erdag_n1000_p0_0080_d8_hi4095_seed0.max
erdag,int,1000,8,4095,1,4036,0.00048410000000000,1367,erdag_n1000_p0_0080_d8_hi4095_seed1.max
erdag,int,1000,8,4095,2,4046,0.00045270000000000,2610,erdag_n1000_p0_0080_d8_hi4095_seed2.max
erdag,int,1000,16,255,0,7923,0.00107730000000000,1524,erdag_n1000_p0_0160_d16_hi255_seed0.max
erdag,int,1000,16,255,1,7898,0.00102940000000000,1435,erdag_n1000_p0_0160_d16_hi255_seed1.max
erdag,int,1000,16,255,2,8045,0.00119700000000000,2228,erdag_n1000_p0_0160_d16_hi255_seed2.max
