graph_type,cap_type,n,d,hi,mean_time,count
erdag,int,1000,4,255,0.00025223333333333,3
erdag,int,1000,8,255,0.00053700000000000,3
erdag,int,1000,16,255,0.00110123333333333,3
erdag,int,1000,32,255,0.00438010000000000,3
erdag,int,1000,64,255,0.01937620000000000,3
erdag,int,1000,4,511,0.00025326666666667,3
erdag,int,1000,8,511,0.00059323333333333,3
erdag,int,1000,16,511,0.00104773333333333,3
erdag,int,1000,32,511,0.00388063333333333,3
erdag,int,1000,64,511,0.01413193333333333,3
erdag,int,1000,4,1023,0.00029606666666667,3
erdag,int,1000,8,1023,0.00051026666666667,3
erdag,int,1000,16,1023,0.00124600000000000,3
erdag,int,1000,32,1023,0.00374536666666667,3
erdag,int,1000,64,1023,0.01515183333333333,3
erdag,int,1000,4,2047,0.00023890000000000,3
erdag,int,1000,8,2047,0.00048323333333333,3
erdag,int,1000,16,2047,0.00130613333333333,3
erdag,int,1000,32,2047,0.00557356666666667,3
erdag,int,1000,64,2047,0.01475310000000000,3
erdag,int,1000,4,4095,0.00029876666666667,3
erdag,int,1000,8,4095,0.00045900000000000,3
erdag,int,1000,16,4095,0.00129996666666667,3
erdag,int,1000,32,4095,0.00394416666666667,3
erdag,int,1000,64,4095,0.02074403333333334,3
erdag,irrational,1000,4,1023,0.00021933333333333,3
erdag,irrational,1000,8,1023,0.00050753333333333,3
erdag,irrational,1000,16,1023,0.00229876666666667,3
erdag,irrational,1000,32,1023,0.00450613333333333,3
erdag,irrational,1000,64,1023,0.00805903333333333,3
erdag,rational,1000,4,1023,0.00023863333333333,3
erdag,rational,1000,8,1023,0.00043500000000000,3
erdag,rational,1000,16,1023,0.00127246666666667,3
erdag,rational,1000,32,1023,0.00463876666666667,3
erdag,rational,1000,64,1023,0.01781170000000000,3
erdag,unit,1000,4,1023,0.00018443333333333,3
erdag,unit,1000,8,1023,0.00036566666666667,3
erdag,unit,1000,16,1023,0.00066096666666667,3
erdag,unit,1000,32,1023,0.00181846666666667,3
erdag,unit,1000,64,1023,0.00675723333333333,3
grid,int,250,250,255,0.00006630000000000,3
grid,int,500,500,255,0.00016176666666667,3
grid,int,1000,1000,255,0.00027270000000000,3
grid,int,2000,2000,255,0.00065200000000000,3
grid,int,4000,4000,255,0.00122156666666667,3
grid,int,250,250,511,0.00008880000000000,3
grid,int,500,500,511,0.00018186666666667,3
grid,int,1000,1000,511,0.00030193333333333,3
grid,int,2000,2000,511,0.00061050000000000,3
grid,int,4000,4000,511,0.00132183333333333,3
grid,int,250,250,1023,0.00006403333333333,3
grid,int,500,500,1023,0.00014393333333333,3
grid,int,1000,1000,1023,0.00032253333333333,3
grid,int,2000,2000,1023,0.00075330000000000,3
grid,int,4000,4000,1023,0.00201656666666667,3
grid,int,250,250,2047,0.00005216666666667,3
grid,int,500,500,2047,0.00018863333333333,3
grid,int,1000,1000,2047,0.00029533333333333,3
grid,int,2000,2000,2047,0.00058870000000000,3
grid,int,4000,4000,2047,0.00192353333333333,3
grid,int,250,250,4095,0.00006386666666667,3
grid,int,500,500,4095,0.00016586666666667,3
grid,int,1000,1000,4095,0.00033190000000000,3
grid,int,2000,2000,4095,0.00077186666666667,3
grid,int,4000,4000,4095,0.00201320000000000,3
grid,irrational,250,250,1023,0.00010410000000000,3
grid,irrational,500,500,1023,0.00024173333333333,3
grid,irrational,1000,1000,1023,0.00033696666666667,3
grid,irrational,2000,2000,1023,0.00077083333333333,3
grid,irrational,4000,4000,1023,0.00168800000000000,3
grid,rational,250,250,1023,0.00009566666666667,3
grid,rational,500,500,1023,0.00020673333333333,3
grid,rational,1000,1000,1023,0.00039530000000000,3
grid,rational,2000,2000,1023,0.00086760000000000,3
grid,rational,4000,4000,1023,0.00232680000000000,3
grid,unit,250,250,1023,0.00004856666666667,3
grid,unit,500,500,1023,0.00010013333333333,3
grid,unit,1000,1000,1023,0.00021336666666667,3
grid,unit,2000,2000,1023,0.00044363333333333,3
grid,unit,4000,4000,1023,0.00081280000000000,3
layered,int,1000,4,255,0.00090560000000000,3
layered,int,1000,8,255,0.00251876666666667,3
layered,int,1000,16,255,0.00699830000000000,3
layered,int,1000,32,255,0.01070693333333333,3
layered,int,1000,64,255,0.01063000000000000,3
layered,int,1000,4,511,0.00082163333333333,3
layered,int,1000,8,511,0.00242870000000000,3
layered,int,1000,16,511,0.00728016666666667,3
layered,int,1000,32,511,0.01104843333333333,3
layered,int,1000,64,511,0.01136656666666667,3
layered,int,1000,4,1023,0.00092456666666667,3
layered,int,1000,8,1023,0.00255993333333333,3
layered,int,1000,16,1023,0.00748953333333333,3
layered,int,1000,32,1023,0.01214700000000000,3
layered,int,1000,64,1023,0.01185993333333333,3
layered,int,1000,4,2047,0.00095196666666667,3
layered,int,1000,8,2047,0.00269443333333333,3
layered,int,1000,16,2047,0.00719773333333333,3
layered,int,1000,32,2047,0.01075330000000000,3
layered,int,1000,64,2047,0.01181953333333333,3
layered,int,1000,4,4095,0.00107463333333333,3
layered,int,1000,8,4095,0.00260873333333333,3
layered,int,1000,16,4095,0.00758423333333333,3
layered,int,1000,32,4095,0.01074983333333333,3
layered,int,1000,64,4095,0.01318496666666667,3
layered,irrational,1000,4,1023,0.00129000000000000,3
layered,irrational,1000,8,1023,0.00243653333333333,3
layered,irrational,1000,16,1023,0.00810980000000000,3
layered,irrational,1000,32,1023,0.01401700000000000,3
layered,irrational,1000,64,1023,0.01257970000000000,3
layered,rational,1000,4,1023,0.00154206666666667,3
layered,rational,1000,8,1023,0.00470876666666667,3
layered,rational,1000,16,1023,0.00933496666666667,3
layered,rational,1000,32,1023,0.01603193333333333,3
layered,rational,1000,64,1023,0.01717023333333333,3
layered,unit,1000,4,1023,0.00058840000000000,3
layered,unit,1000,8,1023,0.00127443333333333,3
layered,unit,1000,16,1023,0.00235996666666667,3
layered,unit,1000,32,1023,0.00350240000000000,3
layered,unit,1000,64,1023,0.00338773333333333,3
