graph_type,cap_type,n,d,mean_time,min_time,max_time,count
erdag,int,1000,0.0200,0.00105266666666667,0.00072430000000000,0.00131100000000000,3
erdag,int,2000,0.0200,0.00333006666666667,0.00219950000000000,0.00506820000000000,3
erdag,int,250,0.0200,0.00006743333333333,0.00006610000000000,0.00006840000000000,3
erdag,int,4000,0.0200,0.02047836666666667,0.01171700000000000,0.02635800000000000,3
erdag,int,500,0.0200,0.00032940000000000,0.00021090000000000,0.00045200000000000,3
erdag,irrational,1000,0.0200,0.00089076666666667,0.00069610000000000,0.00101090000000000,3
erdag,irrational,2000,0.0200,0.00425903333333333,0.00260410000000000,0.00557470000000000,3
erdag,irrational,250,0.0200,0.00008546666666667,0.00007000000000000,0.00009560000000000,3
erdag,irrational,4000,0.0200,0.03329013333333333,0.03068740000000000,0.03701330000000000,3
erdag,irrational,500,0.0200,0.00027720000000000,0.00024440000000000,0.00030100000000000,3
erdag,rational,1000,0.0200,0.00092490000000000,0.00068610000000000,0.00132180000000000,3
erdag,rational,2000,0.0200,0.00513046666666667,0.00399610000000000,0.00580570000000000,3
erdag,rational,250,0.0200,0.00009910000000000,0.00006550000000000,0.00013710000000000,3
erdag,rational,4000,0.0200,0.02326260000000000,0.01627960000000000,0.03394780000000000,3
erdag,rational,500,0.0200,0.00025786666666667,0.00024430000000000,0.00027830000000000,3
erdag,unit,1000,0.0200,0.00082490000000000,0.00072820000000000,0.00088610000000000,3
erdag,unit,2000,0.0200,0.00330126666666667,0.00203250000000000,0.00506150000000000,3
erdag,unit,250,0.0200,0.00008946666666667,0.00006560000000000,0.00013590000000000,3
erdag,unit,4000,0.0200,0.01739926666666667,0.01583680000000000,0.02015450000000000,3
erdag,unit,500,0.0200,0.00024080000000000,0.00021290000000000,0.00026530000000000,3
grid,int,1000,5,0.00155143333333333,0.00123660000000000,0.00184900000000000,3
grid,int,2000,5,0.00364566666666667,0.00281810000000000,0.00441800000000000,3
grid,int,250,5,0.00011566666666667,0.00009680000000000,0.00013140000000000,3
grid,int,4000,5,0.01730960000000000,0.01386480000000000,0.02105750000000000,3
grid,int,500,5,0.00035050000000000,0.00018600000000000,0.00051620000000000,3
grid,irrational,1000,5,0.00130430000000000,0.00112520000000000,0.00151250000000000,3
grid,irrational,2000,5,0.00557946666666667,0.00388220000000000,0.00843720000000000,3
grid,irrational,250,5,0.00014820000000000,0.00012090000000000,0.00018420000000000,3
grid,irrational,4000,5,0.01786660000000000,0.01324080000000000,0.02455060000000000,3
grid,irrational,500,5,0.00046693333333333,0.00040710000000000,0.00051070000000000,3
grid,rational,1000,5,0.00140576666666667,0.00113770000000000,0.00192110000000000,3
grid,rational,2000,5,0.00431810000000000,0.00313040000000000,0.00509810000000000,3
grid,rational,250,5,0.00012323333333333,0.00009740000000000,0.00015330000000000,3
grid,rational,4000,5,0.01942956666666667,0.01011800000000000,0.03107120000000000,3
grid,rational,500,5,0.00033246666666667,0.00030930000000000,0.00035090000000000,3
grid,unit,1000,5,0.00032240000000000,0.00025910000000000,0.00038210000000000,3
grid,unit,2000,5,0.00064630000000000,0.00049470000000000,0.00078440000000000,3
grid,unit,250,5,0.00007933333333333,0.00005830000000000,0.00011500000000000,3
grid,unit,4000,5,0.00109043333333333,0.00101490000000000,0.00117430000000000,3
grid,unit,500,5,0.00015120000000000,0.00012700000000000,0.00019710000000000,3
layered,int,1000,6,0.00070086666666667,0.00060950000000000,0.00084180000000000,3
layered,int,2000,6,0.00132426666666667,0.00125010000000000,0.00142420000000000,3
layered,int,250,6,0.00014833333333333,0.00013640000000000,0.00016460000000000,3
layered,int,4000,6,0.00279803333333333,0.00264130000000000,0.00291930000000000,3
layered,int,500,6,0.00026483333333333,0.00025330000000000,0.00027150000000000,3
layered,irrational,1000,6,0.00080516666666667,0.00066100000000000,0.00093200000000000,3
layered,irrational,2000,6,0.00140270000000000,0.00131140000000000,0.00154290000000000,3
layered,irrational,250,6,0.00026460000000000,0.00019900000000000,0.00037630000000000,3
layered,irrational,4000,6,0.00305520000000000,0.00293000000000000,0.00329040000000000,3
layered,irrational,500,6,0.00042183333333333,0.00036570000000000,0.00045260000000000,3
layered,rational,1000,6,0.00073216666666667,0.00065720000000000,0.00080500000000000,3
layered,rational,2000,6,0.00137056666666667,0.00130810000000000,0.00146820000000000,3
layered,rational,250,6,0.00020633333333333,0.00013530000000000,0.00032740000000000,3
layered,rational,4000,6,0.00279116666666667,0.00258420000000000,0.00299690000000000,3
layered,rational,500,6,0.00032626666666667,0.00025950000000000,0.00042400000000000,3
layered,unit,1000,6,0.00061633333333333,0.00059210000000000,0.00063050000000000,3
layered,unit,2000,6,0.00130333333333333,0.00123810000000000,0.00136920000000000,3
layered,unit,250,6,0.00017300000000000,0.00013820000000000,0.00024080000000000,3
layered,unit,4000,6,0.00267970000000000,0.00253270000000000,0.00290530000000000,3
layered,unit,500,6,0.00030440000000000,0.00027790000000000,0.00034340000000000,3
