graph_type,cap_type,n,d,hi,seed,m,median_time,flow,graph_file
erdag,int,250,0.0200,-1,0,628,0.00006840000000000,1039,erdag_n250_p0_0200_seed0.max
erdag,int,250,0.0200,-1,1,593,0.00006780000000000,0,erdag_n250_p0_0200_seed1.max
erdag,int,250,0.0200,-1,2,599,0.00006610000000000,0,erdag_n250_p0_0200_seed2.max
erdag,int,500,0.0200,-1,0,2545,0.00021090000000000,2031,erdag_n500_p0_0200_seed0.max
erdag,int,500,0.0200,-1,1,2526,0.00045200000000000,2724,erdag_n500_p0_0200_seed1.max
erdag,int,500,0.0200,-1,2,2518,0.00032530000000000,2631,erdag_n500_p0_0200_seed2.max
erdag,int,1000,0.0200,-1,0,10122,0.00131100000000000,6773,erdag_n1000_p0_0200_seed0.max
erdag,int,1000,0.0200,-1,1,9921,0.00072430000000000,3805,erdag_n1000_p0_0200_seed1.max
erdag,int,1000,0.0200,-1,2,10010,0.00112270000000000,6237,erdag_n1000_p0_0200_seed2.max
erdag,int,2000,0.0200,-1,0,39807,0.00219950000000000,11117,erdag_n2000_p0_0200_seed0.max
erdag,int,2000,0.0200,-1,1,40176,0.00272250000000000,18290,erdag_n2000_p0_0200_seed1.max
erdag,int,2000,0.0200,-1,2,39955,0.00506820000000000,20129,erdag_n2000_p0_0200_seed2.max
erdag,int,4000,0.0200,-1,0,159550,0.02635800000000000,45112,erdag_n4000_p0_0200_seed0.max
erdag,int,4000,0.0200,-1,1,159262,0.02336010000000000,42791,erdag_n4000_p0_0200_seed1.max
erdag,int,4000,0.0200,-1,2,158823,0.01171700000000000,37096,erdag_n4000_p0_0200_seed2.max
erdag,irrational,250,0.0200,-1,0,609,0.00009560000000000,0.621999,erdag_n250_p0_0200_seed0.max
erdag,irrational,250,0.0200,-1,1,631,0.00009080000000000,0.000000,erdag_n250_p0_0200_seed1.max
erdag,irrational,250,0.0200,-1,2,643,0.00007000000000000,0.000000,erdag_n250_p0_0200_seed2.max
erdag,irrational,500,0.0200,-1,0,2570,0.00024440000000000,231.000000,erdag_n500_p0_0200_seed0.max
erdag,irrational,500,0.0200,-1,1,2535,0.00030100000000000,494.467153,erdag_n500_p0_0200_seed1.max
erdag,irrational,500,0.0200,-1,2,2494,0.00028620000000000,27.776919,erdag_n500_p0_0200_seed2.max
erdag,irrational,1000,0.0200,-1,0,10179,0.00096530000000000,2409.715838,erdag_n1000_p0_0200_seed0.max
erdag,irrational,1000,0.0200,-1,1,10024,0.00101090000000000,1103.100054,erdag_n1000_p0_0200_seed1.max
erdag,irrational,1000,0.0200,-1,2,9945,0.00069610000000000,1829.719334,erdag_n1000_p0_0200_seed2.max
erdag,irrational,2000,0.0200,-1,0,39742,0.00459830000000000,2882.003387,erdag_n2000_p0_0200_seed0.max
erdag,irrational,2000,0.0200,-1,1,39965,0.00557470000000000,3365.305487,erdag_n2000_p0_0200_seed1.max
erdag,irrational,2000,0.0200,-1,2,39831,0.00260410000000000,4641.857001,erdag_n2000_p0_0200_seed2.max
erdag,irrational,4000,0.0200,-1,0,159874,0.03701330000000000,19015.132494,erdag_n4000_p0_0200_seed0.max
erdag,irrational,4000,0.0200,-1,1,159563,0.03216970000000000,10432.185010,erdag_n4000_p0_0200_seed1.max
erdag,irrational,4000,0.0200,-1,2,158971,0.03068740000000000,12184.811576,erdag_n4000_p0_0200_seed2.max
erdag,rational,250,0.0200,-1,0,661,0.00009470000000000,0/1,erdag_n250_p0_0200_seed0.max
erdag,rational,250,0.0200,-1,1,640,0.00006550000000000,0/1,erdag_n250_p0_0200_seed1.max
erdag,rational,250,0.0200,-1,2,621,0.00013710000000000,53/2,erdag_n250_p0_0200_seed2.max
erdag,rational,500,0.0200,-1,0,2603,0.00025100000000000,743/18,erdag_n500_p0_0200_seed0.max
erdag,rational,500,0.0200,-1,1,2533,0.00027830000000000,1802665/5016,erdag_n500_p0_0200_seed1.max
erdag,rational,500,0.0200,-1,2,2527,0.00024430000000000,167020247/542640,erdag_n500_p0_0200_seed2.max
erdag,rational,1000,0.0200,-1,0,10049,0.00076680000000000,323264209/350064,erdag_n1000_p0_0200_seed0.max
erdag,rational,1000,0.0200,-1,1,9948,0.00068610000000000,12868237/15960,erdag_n1000_p0_0200_seed1.max
