n,m,time_seconds,flow,graph_file,correctness
110594,514483,44.88097630000000038,34669,BVZ-tsukuba0,RISULTATO CORRETTO
110594,526213,137.79013299999999731,264801,BVZ-tsukuba1,RISULTATO CORRETTO
110594,508272,46.86239030000000128,41538,BVZ-tsukuba2,RISULTATO CORRETTO
110594,506721,40.76004890000000103,35379,BVZ-tsukuba3,RISULTATO CORRETTO
110594,496135,51.61396049999999747,48947,BVZ-tsukuba4,RISULTATO CORRETTO
110594,501390,36.15078419999999682,74372,BVZ-tsukuba5,RISULTATO CORRETTO
110594,512938,59.42639150000000114,187576,BVZ-tsukuba6,RISULTATO CORRETTO
110594,502599,46.03423389999999671,41095,BVZ-tsukuba7,RISULTATO CORRETTO
110594,503938,47.21868849999999895,54458,BVZ-tsukuba8,RISULTATO CORRETTO
110594,519074,75.45192400000000532,298716,BVZ-tsukuba9,RISULTATO CORRETTO
110594,516529,146.94728449999999498,236298,BVZ-tsukuba10,RISULTATO CORRETTO
110594,510446,43.11901950000000028,42705,BVZ-tsukuba11,RISULTATO CORRETTO
110594,510816,47.37119400000000269,38887,BVZ-tsukuba12,RISULTATO CORRETTO
110594,551616,0.11121630000000000,0,BVZ-tsukuba13,RISULTATO CORRETTO
110594,515315,52.18079879999999804,50599,BVZ-tsukuba14,RISULTATO CORRETTO
110594,518994,39.82759920000000164,33349,BVZ-tsukuba15,RISULTATO CORRETTO
