n,m,time_seconds,flow,graph_file,correctness
110594,514483,4.39990469999999956,34669,BVZ-tsukuba0,RISULTATO CORRETTO
110594,526213,2.33616409999999997,264801,BVZ-tsukuba1,RISULTATO CORRETTO
110594,508272,4.05567499999999992,41538,BVZ-tsukuba2,RISULTATO CORRETTO
110594,506721,2.35235750000000010,35379,BVZ-tsukuba3,RISULTATO CORRETTO
110594,496135,4.82814429999999994,48947,BVZ-tsukuba4,RISULTATO CORRETTO
110594,501390,1.65090849999999989,74372,BVZ-tsukuba5,RISULTATO CORRETTO
110594,512938,1.06422649999999996,187576,BVZ-tsukuba6,RISULTATO CORRETTO
110594,502599,3.15396600000000005,41095,BVZ-tsukuba7,RISULTATO CORRETTO
110594,503938,3.93680489999999983,54458,BVZ-tsukuba8,RISULTATO CORRETTO
110594,519074,0.74475100000000005,298716,BVZ-tsukuba9,RISULTATO CORRETTO
110594,516529,2.88917959999999985,236298,BVZ-tsukuba10,RISULTATO CORRETTO
110594,510446,4.28582280000000004,42705,BVZ-tsukuba11,RISULTATO CORRETTO
110594,510816,2.76529589999999992,38887,BVZ-tsukuba12,RISULTATO CORRETTO
110594,551616,0.36353720000000000,0,BVZ-tsukuba13,RISULTATO CORRETTO
110594,515315,2.52953530000000004,50599,BVZ-tsukuba14,RISULTATO CORRETTO
110594,518994,1.95299230000000001,33349,BVZ-tsukuba15,RISULTATO CORRETTO
