n,m,time_seconds,flow,graph_file,correctness
320287,2177425,6.97127750000000024,1144128,KZ2-venus0,RISULTATO CORRETTO
322862,2214173,5.15973989999999993,1190657,KZ2-venus1,RISULTATO CORRETTO
324990,2246124,3.74162069999999991,1250964,KZ2-venus2,RISULTATO CORRETTO
319322,2172548,7.74025549999999996,1343151,KZ2-venus3,RISULTATO CORRETTO
319374,2173216,5.64423910000000006,1417900,KZ2-venus4,RISULTATO CORRETTO
314933,2135638,5.90474459999999990,1453512,KZ2-venus5,RISULTATO CORRETTO
289604,1903511,3.14523090000000005,1211831,KZ2-venus6,RISULTATO CORRETTO
321509,2213815,12.55283249999999917,1506570,KZ2-venus7,RISULTATO CORRETTO
320248,2198821,12.12957349999999934,1423372,KZ2-venus8,RISULTATO CORRETTO
316576,2155740,12.30893640000000033,1396819,KZ2-venus9,RISULTATO CORRETTO
315588,2147965,13.93974350000000051,1375201,KZ2-venus10,RISULTATO CORRETTO
278747,1812736,3.07278470000000015,1315279,KZ2-venus11,RISULTATO CORRETTO
316971,2160236,8.56015859999999940,1393079,KZ2-venus12,RISULTATO CORRETTO
266048,1696696,1.31768960000000002,1230158,KZ2-venus13,RISULTATO CORRETTO
310870,2107684,10.78057800000000022,1304192,KZ2-venus14,RISULTATO CORRETTO
245565,1520458,0.72121500000000005,1034347,KZ2-venus15,RISULTATO CORRETTO
319382,2205290,9.97829909999999920,1191635,KZ2-venus16,RISULTATO CORRETTO
316334,2166733,7.46947660000000013,1140960,KZ2-venus17,RISULTATO CORRETTO
308885,2091243,5.28962039999999956,1099583,KZ2-venus18,RISULTATO CORRETTO
158947,792336,0.32039410000000001,202590,KZ2-venus19,RISULTATO CORRETTO
315628,2162357,2.20687550000000021,989615,KZ2-venus20,RISULTATO CORRETTO
312744,2123475,2.37242750000000013,955443,KZ2-venus21,RISULTATO CORRETTO
