n,m,time_seconds,flow,graph_file
10,13,3.87581320000000007,427,.\grid_n10_d5_seed0.max
10,13,3.86482640000000011,427,.\grid_n10_d5_seed0.max
10,13,3.93789470000000019,427,.\grid_n10_d5_seed0.max
10,13,3.88550899999999988,427,.\grid_n10_d5_seed0.max
10,13,3.68670579999999992,427,.\graphs\al\int\grid10_d5\grid_n10_d5_seed0.max
20,31,24.72482869999999977,1063,.\graphs\al\int\grid20_d5\grid_n20_d5_seed1.max
40,67,127.73052450000000135,811,.\graphs\al\int\grid40_d5\grid_n40_d5_seed1.max
80,139,663.48266249999994670,1136,.\graphs\al\int\grid80_d5\grid_n80_d5_seed1.max
10,13,3.56906359999999978,427,.\graphs\al\int\grid10_d5\grid_n10_d5_seed0.max
10,13,3.74113050000000014,427,.\graphs\al\int\grid10_d5\grid_n10_d5_seed0.max
10,13,3.43389370000000005,529,.\graphs\al\int\grid10_d5\grid_n10_d5_seed1.max
10,13,3.17595209999999994,427,.\graphs\al\int\grid10_d5\grid_n10_d5_seed0.max
10,13,2.75325089999999983,529,.\graphs\al\int\grid10_d5\grid_n10_d5_seed1.max
10,13,2.76954259999999985,529,.\graphs\al\int\grid10_d5\grid_n10_d5_seed1.max
10,13,3.12801289999999987,741,.\graphs\al\int\grid10_d5\grid_n10_d5_seed2.max
10,13,3.26523880000000011,612,.\graphs\al\int\grid10_d5\grid_n10_d5_seed3.max
10,13,3.06869360000000002,990,.\graphs\al\int\grid10_d5\grid_n10_d5_seed4.max
10,13,0.30166019999999999,2,.\graphs\al\unit\grid10_d5\grid_n10_d5_seed4.max
10,13,0.00802510000000000,-2147483648,.\graphs\al\int\grid10_d5\grid_n10_d5_seed3.max
10,13,0.00834790000000000,-2147483648,.\graphs\al\int\grid10_d5\grid_n10_d5_seed1.max
10,13,0.00729950000000000,-2147483648,.\graphs\al\int\grid10_d5\grid_n10_d5_seed5.max
10,13,3.06647509999999990,723,.\graphs\al\int\grid10_d5\grid_n10_d5_seed5.max
10,13,2.89667500000000011,723,.\graphs\al\int\grid10_d5\grid_n10_d5_seed5.max
10,13,2.85228359999999981,723,.\graphs\al\int\grid10_d5\grid_n10_d5_seed5.max
10,13,7.01841209999999993,1079/6,.\grid_n10_d5_seed0.max
10,13,7.02108919999999959,1079/6,.\grid_n10_d5_seed0.max
10,13,7.05276420000000037,1079/6,.\grid_n10_d5_seed0.max
10,13,9.29299360000000085,1079/6,.\grid_n10_d5_seed0.max
10,13,7.22587359999999990,427/2,.\grid_n10_d5_seed0.max
10,13,7.41629059999999996,427/2,.\grid_n10_d5_seed0.max
10,13,6.33820539999999966,427,.\graphs\al\int\grid10_d5\grid_n10_d5_seed0.max
10,13,3.19669099999999995,427,.\graphs\al\int\grid10_d5\grid_n10_d5_seed0.max
10,13,2.81351780000000007,529,.\graphs\al\int\grid10_d5\grid_n10_d5_seed1.max
10,13,3.10271549999999996,427,.\graphs\al\int\grid10_d5\grid_n10_d5_seed0.max
10,13,3.11910409999999994,427,.\graphs\al\int\grid10_d5\grid_n10_d5_seed0.max
10,13,2.81422350000000021,529,.\graphs\al\int\grid10_d5\grid_n10_d5_seed1.max
10,13,0.26753929999999998,2,.\graphs\al\unit\grid10_d5\grid_n10_d5_seed1.max
80,139,42.38081439999999844,2,.\graphs\al\unit\grid80_d5\grid_n80_d5_seed0.max
40,67,7.68616250000000001,2,.\graphs\al\unit\grid40_d5\grid_n40_d5_seed0.max
20,31,1.33691739999999992,2,.\graphs\al\unit\grid20_d5\grid_n20_d5_seed1.max
40,67,7.62575230000000026,2,.\graphs\al\unit\grid40_d5\grid_n40_d5_seed0.max
10,13,3.25920770000000015,612,.\graphs\al\int\grid10_d5\grid_n10_d5_seed3.max
10,13,0.31413730000000001,612,.\graphs\al\int\grid10_d5\grid_n10_d5_seed3.max
10,13,0.28267049999999999,529,.\graphs\al\int\grid10_d5\grid_n10_d5_seed1.max
10,13,0.21000040000000000,529,.\graphs\al\int\grid10_d5\grid_n10_d5_seed1.max
10,13,0.24459420000000001,427,.\graphs\al\int\grid10_d5\grid_n10_d5_seed0.max
20,31,1.35949309999999990,1224,.\graphs\al\int\grid20_d5\grid_n20_d5_seed0.max
40,67,5.54604579999999991,1176,.\graphs\al\int\grid40_d5\grid_n40_d5_seed0.max
80,139,27.31406319999999965,1097,.\graphs\al\int\grid80_d5\grid_n80_d5_seed0.max
